,dates,overall-ratings,work-balance-stars,carrer-opportunities-stars,comp-benefit-stars
51768,"Apr 14, 2017",3,2,2,2
51779,"Apr 14, 2017",4,5,3,4
51715,"Apr 14, 2017",5,4,5,4
51716,"Apr 14, 2017",5,none,none,none
62539,"Apr 14, 2018",3,4,3,5
62540,"Apr 14, 2018",3,2,2,2
60900,"Apr 15, 2010",4,3.5,4,4.5
60907,"Apr 15, 2010",4,4,2,4
60428,"Apr 15, 2011",1,2,3,4.5
60398,"Apr 15, 2011",3,4.5,3,4
60402,"Apr 15, 2011",4,4,3.5,4.5
60403,"Apr 15, 2011",4,4.5,4,3
58912,"Apr 15, 2013",3,5,4,4
58909,"Apr 15, 2013",4,3,4,5
58916,"Apr 15, 2013",4,4,4,4
57532,"Apr 15, 2014",2,2,2,4
57529,"Apr 15, 2014",4,4,3,4
55909,"Apr 15, 2015",1,3,1,3
55815,"Apr 15, 2015",3,3,3,4
55812,"Apr 15, 2015",4,4,3,4
55813,"Apr 15, 2015",4,none,none,none
55761,"Apr 15, 2015",5,5,5,5
55762,"Apr 15, 2015",5,3,5,5
53547,"Apr 15, 2016",4,none,none,none
53548,"Apr 15, 2016",4,5,4,4
64425,"Apr 15, 2016",4,4,3,3
53476,"Apr 15, 2016",5,4,5,5
53477,"Apr 15, 2016",5,4,5,5
53478,"Apr 15, 2016",5,none,none,none
53479,"Apr 15, 2016",5,none,none,none
64401,"Apr 15, 2016",5,2,5,4
63500,"Apr 15, 2017",1,1,1,2
63485,"Apr 15, 2017",3,5,2,4
51710,"Apr 15, 2017",5,5,5,5
63451,"Apr 15, 2017",5,5,5,5
50308,"Apr 15, 2018",3,3,4,5
50316,"Apr 15, 2018",4,5,4,4
62527,"Apr 15, 2018",4,5,5,4
50278,"Apr 15, 2018",5,4,5,4
62503,"Apr 15, 2018",5,4,2,5
62504,"Apr 15, 2018",5,5,5,5
61898,"Apr 16, 2008",4,3.5,4,4.5
61260,"Apr 16, 2009",1,3,1,4
60903,"Apr 16, 2010",4,4,3,4
59924,"Apr 16, 2012",3,3.5,3.5,3.5
58902,"Apr 16, 2013",2,1,1,3
58907,"Apr 16, 2013",3,4,4,3
58908,"Apr 16, 2013",3,1,4,4
58854,"Apr 16, 2013",5,4,4,4
58865,"Apr 16, 2013",5,4,5,5
57525,"Apr 16, 2014",3,4,3,4
57524,"Apr 16, 2014",4,3,3,3
57466,"Apr 16, 2014",5,5,5,5
57475,"Apr 16, 2014",5,3,5,5
55905,"Apr 16, 2015",1,1,1,3
55795,"Apr 16, 2015",3,4,3,5
55804,"Apr 16, 2015",4,5,4,3
55805,"Apr 16, 2015",4,5,5,5
65394,"Apr 16, 2015",4,5,3,3
55754,"Apr 16, 2015",5,5,2,4
64423,"Apr 16, 2016",3,1,2,4
64422,"Apr 16, 2016",4,3,2,3
53424,"Apr 16, 2016",5,4,5,5
53471,"Apr 16, 2016",5,none,5,5
64399,"Apr 16, 2016",5,none,none,none
51776,"Apr 16, 2017",3,4,4,5
63436,"Apr 16, 2017",4,2,4,3
63483,"Apr 16, 2017",4,4,4,4
51704,"Apr 16, 2017",5,5,5,5
63440,"Apr 16, 2017",5,5,3,5
62535,"Apr 16, 2018",2,1,2,1
62531,"Apr 16, 2018",4,3,4,3
62532,"Apr 16, 2018",4,3,4,4
62534,"Apr 16, 2018",4,2,4,4
50275,"Apr 16, 2018",5,5,5,5
50276,"Apr 16, 2018",5,5,5,4
62500,"Apr 16, 2018",5,4,4,4
62501,"Apr 16, 2018",5,4,5,5
61245,"Apr 17, 2009",4,4,4.5,4.5
61232,"Apr 17, 2009",5,3.5,4,4.5
60901,"Apr 17, 2010",2,4.5,2,3
60401,"Apr 17, 2011",3,3,2,4.5
60404,"Apr 17, 2011",4,4.5,4,3.5
58901,"Apr 17, 2013",3,2,4,3
58850,"Apr 17, 2013",4,2,4,5
57633,"Apr 17, 2014",1,3,2,4
57522,"Apr 17, 2014",4,4,3,4
55796,"Apr 17, 2015",2,3,3,5
55802,"Apr 17, 2015",3,3,3,4
55803,"Apr 17, 2015",3,2,3,4
65393,"Apr 17, 2015",3,2,3,4
55799,"Apr 17, 2015",4,1,4,3
55800,"Apr 17, 2015",4,4,3,3
55750,"Apr 17, 2015",5,4,5,4
55751,"Apr 17, 2015",5,3,5,4
53541,"Apr 17, 2016",3,4,4,3
64421,"Apr 17, 2016",3,3,4,4
53539,"Apr 17, 2016",4,2,3,4
53540,"Apr 17, 2016",4,3,4,4
53448,"Apr 17, 2016",5,4,5,5
53466,"Apr 17, 2016",5,none,none,none
53467,"Apr 17, 2016",5,none,none,none
64392,"Apr 17, 2016",5,5,5,4
63484,"Apr 17, 2017",2,none,none,none
63477,"Apr 17, 2017",3,5,3,3
63482,"Apr 17, 2017",3,3,2,3
51771,"Apr 17, 2017",4,2,4,4
51772,"Apr 17, 2017",4,2,4,4
51773,"Apr 17, 2017",4,5,3,4
51774,"Apr 17, 2017",4,3,4,5
51698,"Apr 17, 2017",5,5,5,5
51699,"Apr 17, 2017",5,5,4,5
63446,"Apr 17, 2017",5,5,5,5
50312,"Apr 17, 2018",3,2,2,3
62529,"Apr 17, 2018",3,3,2,3
62533,"Apr 17, 2018",3,3,2,3
50305,"Apr 17, 2018",4,2,5,5
50271,"Apr 17, 2018",5,5,5,5
62498,"Apr 17, 2018",5,none,none,none
61868,"Apr 18, 2008",5,5,5,5
61878,"Apr 18, 2008",5,5,5,5
61243,"Apr 18, 2009",4,4.5,4.5,3
60890,"Apr 18, 2010",5,4.5,5,5
58876,"Apr 18, 2013",5,5,4,4
57517,"Apr 18, 2014",4,4,5,5
57518,"Apr 18, 2014",4,none,none,none
57523,"Apr 18, 2014",4,5,5,4
57470,"Apr 18, 2014",5,4,5,5
65392,"Apr 18, 2015",3,3,3,3
55798,"Apr 18, 2015",4,4,4,4
65391,"Apr 18, 2015",4,4,4,4
55745,"Apr 18, 2015",5,5,4,5
53535,"Apr 18, 2016",4,5,5,5
53536,"Apr 18, 2016",4,2,4,4
53537,"Apr 18, 2016",4,none,none,none
64420,"Apr 18, 2016",4,5,3,5
53460,"Apr 18, 2016",5,3,3,5
64390,"Apr 18, 2016",5,5,5,5
64391,"Apr 18, 2016",5,3,5,4
64393,"Apr 18, 2016",5,5,5,5
51758,"Apr 18, 2017",2,4,1,4
51769,"Apr 18, 2017",3,none,none,none
63468,"Apr 18, 2017",3,4,4,5
51766,"Apr 18, 2017",4,none,none,none
63480,"Apr 18, 2017",4,4,4,3
63481,"Apr 18, 2017",4,5,4,4
51691,"Apr 18, 2017",5,none,none,none
63444,"Apr 18, 2017",5,5,4,4
50374,"Apr 18, 2018",1,none,none,none
50293,"Apr 18, 2018",3,5,3,5
50310,"Apr 18, 2018",4,5,4,3
50311,"Apr 18, 2018",4,5,4,4
62517,"Apr 18, 2018",4,4,5,5
62495,"Apr 18, 2018",5,5,4,5
61897,"Apr 19, 2008",2,1.5,2.5,3.5
61894,"Apr 19, 2008",3,3.5,3.5,3.5
61867,"Apr 19, 2008",5,5,5,4.5
61876,"Apr 19, 2008",5,5,5,5
61888,"Apr 19, 2008",5,4.5,5,5
60895,"Apr 19, 2010",3,2,3,4
60902,"Apr 19, 2010",4,4.5,3.5,4
60399,"Apr 19, 2011",3,3.5,3,3.5
59916,"Apr 19, 2012",3,4,4,2
59919,"Apr 19, 2012",4,4.5,3.5,4.5
58961,"Apr 19, 2013",1,2,1,4
58898,"Apr 19, 2013",3,2,3,4
58867,"Apr 19, 2013",5,5,4,4
58868,"Apr 19, 2013",5,4,4,3
57514,"Apr 19, 2014",3,5,2,4
57513,"Apr 19, 2014",4,4,4,4
55740,"Apr 19, 2015",5,5,5,3
55741,"Apr 19, 2015",5,4,5,4
53531,"Apr 19, 2016",3,4,3,4
53532,"Apr 19, 2016",3,4,4,4
53533,"Apr 19, 2016",3,none,none,none
53534,"Apr 19, 2016",3,1,3,3
53456,"Apr 19, 2016",5,3,4,3
53457,"Apr 19, 2016",5,4,3,5
64386,"Apr 19, 2016",5,4,5,3
51767,"Apr 19, 2017",2,1,3,3
51752,"Apr 19, 2017",3,4,3,3
51761,"Apr 19, 2017",4,3,4,3
51762,"Apr 19, 2017",4,3,4,4
51763,"Apr 19, 2017",4,4,2,4
51764,"Apr 19, 2017",4,5,4,5
51685,"Apr 19, 2017",5,none,none,none
51686,"Apr 19, 2017",5,5,5,5
51687,"Apr 19, 2017",5,4,5,4
51692,"Apr 19, 2017",5,2,5,2
50373,"Apr 19, 2018",1,1,1,1
62568,"Apr 19, 2018",1,1,1,1
62523,"Apr 19, 2018",2,3,1,4
61252,"Apr 2, 2009",4,5,2.5,4
61255,"Apr 2, 2009",4,3.5,2,4
60896,"Apr 2, 2010",5,4.5,5,5
60423,"Apr 2, 2011",4,5,4,3
59949,"Apr 2, 2012",4,3.5,4,3.5
58950,"Apr 2, 2013",3,4,4,4
58945,"Apr 2, 2013",4,1,3,5
58946,"Apr 2, 2013",4,3,5,5
58958,"Apr 2, 2013",4,4,4,4
57589,"Apr 2, 2014",3,3,2,4
57591,"Apr 2, 2014",3,3,2,4
57586,"Apr 2, 2014",4,3,3,5
57587,"Apr 2, 2014",4,1,4,2
57588,"Apr 2, 2014",4,4,4,4
57590,"Apr 2, 2014",4,4,4,4
55869,"Apr 2, 2015",3,3,3,4
55870,"Apr 2, 2015",3,3,3,4
55871,"Apr 2, 2015",3,5,3,4
55867,"Apr 2, 2015",4,3,3,4
65410,"Apr 2, 2015",4,none,4,none
65411,"Apr 2, 2015",4,5,4,3
53636,"Apr 2, 2016",2,1,1,1
53627,"Apr 2, 2016",3,3,3,3
53542,"Apr 2, 2016",5,4,5,5
