,dates,overall-ratings,work-balance-stars,carrer-opportunities-stars,comp-benefit-stars
64203,"Jul 20, 2016",3,5,3,4
53128,"Jul 20, 2016",4,5,5,5
64206,"Jul 20, 2016",4,3,4,4
64207,"Jul 20, 2016",4,5,4,4
64173,"Jul 20, 2016",5,4,5,5
51371,"Jul 20, 2017",4,3,4,4
51317,"Jul 20, 2017",5,3,2,4
63225,"Jul 20, 2017",5,4,5,4
63226,"Jul 20, 2017",5,4,4,5
50048,"Jul 20, 2018",2,3,2,4
62318,"Jul 20, 2018",3,2,1,3
50054,"Jul 20, 2018",4,4,4,5
62314,"Jul 20, 2018",4,4,3,4
62315,"Jul 20, 2018",4,4,5,5
62316,"Jul 20, 2018",4,4,4,4
62317,"Jul 20, 2018",4,4,5,5
62320,"Jul 20, 2018",4,4,3,4
49932,"Jul 20, 2018",5,5,4,3
61531,"Jul 21, 2008",4,5,3,3.5
61165,"Jul 21, 2009",3,3.5,3,3
61164,"Jul 21, 2009",4,4,4,3
61143,"Jul 21, 2009",5,3.5,4.5,3.5
60798,"Jul 21, 2010",3,3.5,3,2.5
60797,"Jul 21, 2010",4,4,4,4
60311,"Jul 21, 2011",1,2.5,2,2
60296,"Jul 21, 2011",2,2,2,3
60295,"Jul 21, 2011",4,4.5,4,3
59735,"Jul 21, 2012",3,2,2,2
59739,"Jul 21, 2012",4,4,3,4
59714,"Jul 21, 2012",5,5,5,5
58655,"Jul 21, 2013",3,3,3,4
58656,"Jul 21, 2013",3,4,3,3
58657,"Jul 21, 2013",3,3,3,3
58636,"Jul 21, 2013",4,4,4,4
58654,"Jul 21, 2013",4,5,3,4
58612,"Jul 21, 2013",5,4,5,4
57168,"Jul 21, 2014",4,4,3,3
57169,"Jul 21, 2014",4,4,4,4
57188,"Jul 21, 2014",4,3,4,4
57189,"Jul 21, 2014",4,5,5,5
57086,"Jul 21, 2014",5,4,4,4
55252,"Jul 21, 2015",2,2,2,2
55254,"Jul 21, 2015",3,2,1,2
65195,"Jul 21, 2015",3,4,5,4
55249,"Jul 21, 2015",4,5,4,5
55250,"Jul 21, 2015",4,3,4,4
55251,"Jul 21, 2015",4,5,4,3
65192,"Jul 21, 2015",4,4,5,4
55160,"Jul 21, 2015",5,3,4,5
55161,"Jul 21, 2015",5,none,none,none
65163,"Jul 21, 2015",5,4,5,5
64184,"Jul 21, 2016",2,3,2,3
53123,"Jul 21, 2016",3,4,5,5
53124,"Jul 21, 2016",3,3,3,4
64205,"Jul 21, 2016",3,3,3,3
53067,"Jul 21, 2016",5,3,none,3
53068,"Jul 21, 2016",5,4,4,4
53069,"Jul 21, 2016",5,4,5,4
64171,"Jul 21, 2016",5,5,5,5
51379,"Jul 21, 2017",3,1,3,4
63275,"Jul 21, 2017",3,none,none,none
51353,"Jul 21, 2017",4,5,4,5
63274,"Jul 21, 2017",4,2,3,3
51313,"Jul 21, 2017",5,4,5,4
63221,"Jul 21, 2017",5,3,4,5
63222,"Jul 21, 2017",5,5,4,5
50056,"Jul 21, 2018",2,none,none,none
50057,"Jul 21, 2018",2,2,2,2
62311,"Jul 21, 2018",4,4,5,4
50000,"Jul 21, 2018",5,5,5,4
62269,"Jul 21, 2018",5,4,4,5
61537,"Jul 22, 2008",4,3.5,4,3.5
61161,"Jul 22, 2009",4,3.5,4,4
59744,"Jul 22, 2012",4,3,4,3
58652,"Jul 22, 2013",3,2,3,4
58653,"Jul 22, 2013",3,4,3,4
58568,"Jul 22, 2013",5,4,3,4
57183,"Jul 22, 2014",3,3,2,3
57184,"Jul 22, 2014",3,3,3,4
57185,"Jul 22, 2014",3,4,2,4
57186,"Jul 22, 2014",3,3,3,4
57190,"Jul 22, 2014",3,3,2,3
57179,"Jul 22, 2014",4,4,3,4
57180,"Jul 22, 2014",4,none,none,none
57078,"Jul 22, 2014",5,5,5,4
57079,"Jul 22, 2014",5,5,5,5
55236,"Jul 22, 2015",3,none,none,none
65184,"Jul 22, 2015",3,3,4,3
65190,"Jul 22, 2015",3,none,none,none
65196,"Jul 22, 2015",3,2,4,3
55243,"Jul 22, 2015",4,none,none,none
55244,"Jul 22, 2015",4,4,4,4
55245,"Jul 22, 2015",4,3,4,4
65186,"Jul 22, 2015",4,3,4,5
65187,"Jul 22, 2015",4,4,3,3
65193,"Jul 22, 2015",4,5,none,none
55130,"Jul 22, 2015",5,4,5,5
55148,"Jul 22, 2015",5,5,5,5
65159,"Jul 22, 2015",5,5,5,5
64202,"Jul 22, 2016",3,none,none,none
64204,"Jul 22, 2016",3,3,3,3
53111,"Jul 22, 2016",4,2,3,4
53064,"Jul 22, 2016",5,5,5,4
51348,"Jul 22, 2017",4,5,4,4
51377,"Jul 22, 2017",4,3,4,4
63261,"Jul 22, 2017",4,5,4,4
51309,"Jul 22, 2017",5,3,4,5
50051,"Jul 22, 2018",2,3,3,3
61530,"Jul 23, 2008",3,3,2,3.5
60791,"Jul 23, 2010",4,4.5,4,4
60761,"Jul 23, 2010",5,5,4,4.5
58647,"Jul 23, 2013",2,3,none,4
58648,"Jul 23, 2013",4,3,4,5
57175,"Jul 23, 2014",3,4,3,5
57176,"Jul 23, 2014",3,5,3,5
57177,"Jul 23, 2014",3,4,3,4
57178,"Jul 23, 2014",3,4,3,3
57170,"Jul 23, 2014",4,3,4,4
57171,"Jul 23, 2014",4,5,5,5
57172,"Jul 23, 2014",4,3,2,3
57181,"Jul 23, 2014",4,5,4,5
57067,"Jul 23, 2014",5,none,none,none
55239,"Jul 23, 2015",2,none,none,none
55240,"Jul 23, 2015",2,none,none,none
55231,"Jul 23, 2015",3,4,2,4
55242,"Jul 23, 2015",3,none,none,none
65185,"Jul 23, 2015",4,none,none,none
65188,"Jul 23, 2015",4,none,none,none
55139,"Jul 23, 2015",5,5,5,5
55140,"Jul 23, 2015",5,5,5,5
55141,"Jul 23, 2015",5,none,none,none
53106,"Jul 23, 2016",4,3,4,4
51374,"Jul 23, 2017",3,none,none,none
63215,"Jul 23, 2017",5,3,4,5
50106,"Jul 23, 2018",1,1,1,5
50047,"Jul 23, 2018",2,2,2,5
50044,"Jul 23, 2018",3,4,3,4
50045,"Jul 23, 2018",3,4,3,4
50041,"Jul 23, 2018",4,3,4,4
50042,"Jul 23, 2018",4,5,3,4
62310,"Jul 23, 2018",4,4,4,4
49992,"Jul 23, 2018",5,4,4,3
50006,"Jul 23, 2018",5,none,none,none
62266,"Jul 23, 2018",5,5,5,5
61527,"Jul 24, 2008",4,4,4,4.5
60788,"Jul 24, 2010",4,4,3,5
60291,"Jul 24, 2011",2,4,1.5,3
59738,"Jul 24, 2012",4,4,4,3
58646,"Jul 24, 2013",3,3,3,2
58645,"Jul 24, 2013",4,4,3,4
57154,"Jul 24, 2014",4,1,3,4
57167,"Jul 24, 2014",4,4,3,4
57173,"Jul 24, 2014",4,4,4,4
56985,"Jul 24, 2014",5,none,none,none
55237,"Jul 24, 2015",3,3,4,5
55238,"Jul 24, 2015",3,4,3,4
55234,"Jul 24, 2015",4,3,3,3
65182,"Jul 24, 2015",4,4,3,3
55132,"Jul 24, 2015",5,4,4,4
65150,"Jul 24, 2015",5,3,3,4
53117,"Jul 24, 2016",2,2,5,5
53116,"Jul 24, 2016",3,3,3,3
53100,"Jul 24, 2016",4,4,3,4
53115,"Jul 24, 2016",4,3,4,4
64199,"Jul 24, 2016",4,none,none,none
64162,"Jul 24, 2016",5,5,5,5
51367,"Jul 24, 2017",2,3,2,3
51368,"Jul 24, 2017",4,3,4,3
63263,"Jul 24, 2017",4,3,4,5
63264,"Jul 24, 2017",4,4,4,4
62305,"Jul 24, 2018",3,3,3,3
62306,"Jul 24, 2018",3,4,4,3
49989,"Jul 24, 2018",5,3,5,5
50002,"Jul 24, 2018",5,4,5,5
62261,"Jul 24, 2018",5,5,5,5
62262,"Jul 24, 2018",5,4,4,4
62263,"Jul 24, 2018",5,4,5,4
61162,"Jul 25, 2009",3,2.5,2,4.5
60792,"Jul 25, 2010",4,4.5,4,4.5
60292,"Jul 25, 2011",4,3.5,3.5,4
59730,"Jul 25, 2012",3,4,4,4
59729,"Jul 25, 2012",4,5,3,3
58693,"Jul 25, 2013",1,1,2,3
58649,"Jul 25, 2013",2,2,1,4
58641,"Jul 25, 2013",3,5,3,3
58642,"Jul 25, 2013",3,4,4,3
58643,"Jul 25, 2013",3,5,5,3
58634,"Jul 25, 2013",4,4,4,4
57247,"Jul 25, 2014",1,1,3,5
57165,"Jul 25, 2014",3,4,3,5
57166,"Jul 25, 2014",3,2,3,4
57120,"Jul 25, 2014",4,3,4,3
57163,"Jul 25, 2014",4,5,3,5
55341,"Jul 25, 2015",1,2,1,3
65234,"Jul 25, 2015",1,3,2,4
55235,"Jul 25, 2015",2,2,3,4
55232,"Jul 25, 2015",3,4,5,5
55225,"Jul 25, 2015",4,3,4,4
55226,"Jul 25, 2015",4,4,4,5
55227,"Jul 25, 2015",4,4,4,4
65183,"Jul 25, 2015",4,2,5,4
55125,"Jul 25, 2015",5,5,4,4
55126,"Jul 25, 2015",5,5,5,5
65128,"Jul 25, 2015",5,5,5,4
65131,"Jul 25, 2015",5,5,5,4
65151,"Jul 25, 2015",5,3,5,5
53110,"Jul 25, 2016",4,4,3,4
64196,"Jul 25, 2016",4,3,4,4
64197,"Jul 25, 2016",4,5,3,4
51364,"Jul 25, 2017",3,3,3,5
63251,"Jul 25, 2017",3,2,3,4
51363,"Jul 25, 2017",4,5,4,4
51301,"Jul 25, 2017",5,5,2,5
51303,"Jul 25, 2017",5,2,5,5
63208,"Jul 25, 2017",5,2,5,5
63209,"Jul 25, 2017",5,4,4,4
63210,"Jul 25, 2017",5,2,5,5
62307,"Jul 25, 2018",3,4,4,3
50038,"Jul 25, 2018",4,none,none,none
62300,"Jul 25, 2018",4,none,none,none
49996,"Jul 25, 2018",5,5,5,5
49997,"Jul 25, 2018",5,3,3,4
62247,"Jul 25, 2018",5,5,4,3
62253,"Jul 25, 2018",5,5,4,3
61526,"Jul 26, 2008",3,1.5,3.5,3
61524,"Jul 26, 2008",4,4,3,3.5
61160,"Jul 26, 2009",4,5,3,3
60790,"Jul 26, 2010",2,4,1.5,4
58639,"Jul 26, 2013",2,1,2,5
58638,"Jul 26, 2013",3,3,3,4
58637,"Jul 26, 2013",4,5,4,4
58566,"Jul 26, 2013",5,5,5,5
57159,"Jul 26, 2014",4,3,4,4
57051,"Jul 26, 2014",5,5,5,5
57052,"Jul 26, 2014",5,5,5,5
55346,"Jul 26, 2015",1,5,1,5
65231,"Jul 26, 2015",1,2,1,3
55229,"Jul 26, 2015",2,4,3,5
55233,"Jul 26, 2015",3,4,3,3
55220,"Jul 26, 2015",4,1,4,4
55221,"Jul 26, 2015",4,4,5,4
55228,"Jul 26, 2015",4,5,5,3
65179,"Jul 26, 2015",4,2,4,4
65141,"Jul 26, 2015",5,5,5,5
65142,"Jul 26, 2015",5,5,5,5
65143,"Jul 26, 2015",5,4,3,4
65144,"Jul 26, 2015",5,4,5,5
53097,"Jul 26, 2016",3,5,2,5
53112,"Jul 26, 2016",3,5,2,5
64192,"Jul 26, 2016",3,5,2,2
53093,"Jul 26, 2016",4,4,5,4
53056,"Jul 26, 2016",5,5,5,4
64142,"Jul 26, 2016",5,5,5,4
64157,"Jul 26, 2016",5,5,4,4
64158,"Jul 26, 2016",5,5,5,5
51358,"Jul 26, 2017",4,4,3,3
51359,"Jul 26, 2017",4,4,4,4
51360,"Jul 26, 2017",4,none,none,none
63259,"Jul 26, 2017",4,3,3,4
63260,"Jul 26, 2017",4,1,5,5
51296,"Jul 26, 2017",5,5,5,5
62352,"Jul 26, 2018",1,3,1,3
50036,"Jul 26, 2018",4,3,5,4
50037,"Jul 26, 2018",4,4,5,3
49993,"Jul 26, 2018",5,5,5,4
61501,"Jul 27, 2008",3,3.5,2,4.5
61519,"Jul 27, 2008",4,3,4,3
61521,"Jul 27, 2008",4,3.5,4,4.5
61159,"Jul 27, 2009",4,2,3.5,4
60758,"Jul 27, 2010",5,3.5,4,4
60285,"Jul 27, 2011",4,3.5,4,3
59726,"Jul 27, 2012",3,1,1,3
59731,"Jul 27, 2012",4,3,4,3
59732,"Jul 27, 2012",4,4,4,3
59687,"Jul 27, 2012",5,3,4,5
59701,"Jul 27, 2012",5,5,5,5
58535,"Jul 27, 2013",5,1,2,4
57160,"Jul 27, 2014",2,3,2,3
57161,"Jul 27, 2014",2,1,1,4
57156,"Jul 27, 2014",3,4,4,4
57150,"Jul 27, 2014",4,5,4,4
57151,"Jul 27, 2014",4,4,4,4
57152,"Jul 27, 2014",4,4,4,4
57153,"Jul 27, 2014",4,3,4,3
57047,"Jul 27, 2014",5,5,5,5
55326,"Jul 27, 2015",1,2,1,3
55218,"Jul 27, 2015",3,none,none,none
55216,"Jul 27, 2015",4,4,4,4
55217,"Jul 27, 2015",4,5,5,5
55108,"Jul 27, 2015",5,5,5,5
55109,"Jul 27, 2015",5,5,3,5
65133,"Jul 27, 2015",5,5,5,5
53176,"Jul 27, 2016",1,1,1,1
53102,"Jul 27, 2016",3,3,4,4
64188,"Jul 27, 2016",3,2,3,4
53081,"Jul 27, 2016",4,4,4,4
64190,"Jul 27, 2016",4,none,none,none
53044,"Jul 27, 2016",5,4,4,4
53045,"Jul 27, 2016",5,5,5,5
53046,"Jul 27, 2016",5,4,4,4
64155,"Jul 27, 2016",5,1,5,5
64156,"Jul 27, 2016",5,3,2,5
51354,"Jul 27, 2017",3,3,3,4
51355,"Jul 27, 2017",3,4,3,4
63256,"Jul 27, 2017",3,none,none,none
51351,"Jul 27, 2017",4,2,5,5
51352,"Jul 27, 2017",4,none,none,none
63254,"Jul 27, 2017",4,3,4,4
63200,"Jul 27, 2017",5,5,5,3
62291,"Jul 27, 2018",3,2,3,4
62288,"Jul 27, 2018",4,4,4,4
62297,"Jul 27, 2018",4,4,4,4
49990,"Jul 27, 2018",5,none,none,none
62255,"Jul 27, 2018",5,none,none,none
60782,"Jul 28, 2010",2,3.5,3.5,4.5
60786,"Jul 28, 2010",3,3,3,3
60787,"Jul 28, 2010",3,3,2,3
60287,"Jul 28, 2011",4,3,3.5,4.5
60289,"Jul 28, 2011",4,3.5,3.5,4.5
60290,"Jul 28, 2011",4,4.5,4.5,4.5
59694,"Jul 28, 2012",5,4,5,5
59695,"Jul 28, 2012",5,5,5,4
58635,"Jul 28, 2013",3,3,3,3
58633,"Jul 28, 2013",4,none,none,none
57237,"Jul 28, 2014",1,2,1,3
57103,"Jul 28, 2014",2,1,3,4
57147,"Jul 28, 2014",3,3,3,4
57148,"Jul 28, 2014",3,4,3,4
57142,"Jul 28, 2014",4,4,4,4
57143,"Jul 28, 2014",4,4,4,4
57144,"Jul 28, 2014",4,1,2,5
57145,"Jul 28, 2014",4,4,4,4
57041,"Jul 28, 2014",5,2,4,4
57042,"Jul 28, 2014",5,3,5,5
55182,"Jul 28, 2015",3,2,2,3
55209,"Jul 28, 2015",3,2,2,4
55210,"Jul 28, 2015",3,3,3,4
65175,"Jul 28, 2015",3,1,3,4
55202,"Jul 28, 2015",4,none,none,none
55203,"Jul 28, 2015",4,4,3,4
55204,"Jul 28, 2015",4,4,4,4
55205,"Jul 28, 2015",4,5,4,3
55206,"Jul 28, 2015",4,3,4,5
55207,"Jul 28, 2015",4,5,4,5
65174,"Jul 28, 2015",4,4,4,4
55103,"Jul 28, 2015",5,3,4,3
53101,"Jul 28, 2016",2,1,3,2
64189,"Jul 28, 2016",3,2,1,1
53085,"Jul 28, 2016",4,4,4,3
53099,"Jul 28, 2016",4,none,none,none
53047,"Jul 28, 2016",5,none,none,none
51345,"Jul 28, 2017",4,4,5,4
51346,"Jul 28, 2017",4,3,3,4
63255,"Jul 28, 2017",4,4,3,4
51289,"Jul 28, 2017",5,5,5,5
51290,"Jul 28, 2017",5,4,4,4
51291,"Jul 28, 2017",5,4,3,4
63199,"Jul 28, 2017",5,4,4,4
50022,"Jul 28, 2018",4,none,none,none
62249,"Jul 28, 2018",5,none,5,none
61520,"Jul 29, 2008",3,3,3,3
59770,"Jul 29, 2012",1,3,3,5
59727,"Jul 29, 2012",4,3,4,4
59728,"Jul 29, 2012",4,4,4,4
58625,"Jul 29, 2013",3,2,3,3
58632,"Jul 29, 2013",3,5,1,4
58620,"Jul 29, 2013",4,3,3,3
58629,"Jul 29, 2013",4,3,4,5
58630,"Jul 29, 2013",4,3,4,4
58631,"Jul 29, 2013",4,4,4,4
57136,"Jul 29, 2014",2,4,3,3
57121,"Jul 29, 2014",3,4,3,3
57139,"Jul 29, 2014",3,3,2,3
57140,"Jul 29, 2014",3,4,3,4
57135,"Jul 29, 2014",4,4,3,5
57137,"Jul 29, 2014",4,none,none,none
57138,"Jul 29, 2014",4,4,4,4
57146,"Jul 29, 2014",4,5,5,5
57033,"Jul 29, 2014",5,3,4,2
55188,"Jul 29, 2015",3,4,3,3
55197,"Jul 29, 2015",3,4,4,4
55198,"Jul 29, 2015",3,3,3,4
55196,"Jul 29, 2015",4,2,4,3
55104,"Jul 29, 2015",5,4,4,4
53091,"Jul 29, 2016",2,1,1,4
53092,"Jul 29, 2016",4,3,4,5
64186,"Jul 29, 2016",4,4,3,4
64133,"Jul 29, 2016",5,4,4,4
64143,"Jul 29, 2016",5,5,4,5
64144,"Jul 29, 2016",5,2,5,2
64149,"Jul 29, 2016",5,none,none,none
51285,"Jul 29, 2017",5,4,4,5
63196,"Jul 29, 2017",5,4,3,5
62345,"Jul 29, 2018",1,1,5,5
62289,"Jul 29, 2018",4,5,4,4
62290,"Jul 29, 2018",4,4,3,3
62293,"Jul 29, 2018",4,4,5,4
49984,"Jul 29, 2018",5,none,none,none
62243,"Jul 29, 2018",5,none,none,none
60816,"Jul 3, 2010",3,3.5,3.5,4.5
60312,"Jul 3, 2011",3,2.5,3.5,5
59789,"Jul 3, 2012",4,5,5,4
59778,"Jul 3, 2012",5,4,5,5
58697,"Jul 3, 2013",2,1,2,3
58699,"Jul 3, 2013",3,3,2,3
57254,"Jul 3, 2014",3,3,3,5
57253,"Jul 3, 2014",4,3,5,5
55350,"Jul 3, 2015",4,5,3,4
55355,"Jul 3, 2015",4,5,3,4
55266,"Jul 3, 2015",5,3,4,5
53192,"Jul 3, 2016",3,3,3,3
53195,"Jul 3, 2016",4,none,none,none
53199,"Jul 3, 2016",4,4,4,5
51438,"Jul 3, 2017",3,2,5,5
51437,"Jul 3, 2017",4,3,4,3
63284,"Jul 3, 2017",5,5,5,5
63285,"Jul 3, 2017",5,5,5,5
63286,"Jul 3, 2017",5,5,5,3
62355,"Jul 3, 2018",3,5,2,2
50066,"Jul 3, 2018",5,5,5,5
62325,"Jul 3, 2018",5,5,5,5
61510,"Jul 30, 2008",5,5,4,4
60807,"Jul 30, 2010",1,1,1,1
60784,"Jul 30, 2010",2,4,1,3.5
60785,"Jul 30, 2010",3,3.5,3,5
59773,"Jul 30, 2012",1,3,3,4
59688,"Jul 30, 2012",5,4,5,4
58579,"Jul 30, 2013",5,4,5,5
58580,"Jul 30, 2013",5,4,4,5
57222,"Jul 30, 2014",1,1,2,3
57127,"Jul 30, 2014",2,2,1,3
57109,"Jul 30, 2014",3,4,2,4
57110,"Jul 30, 2014",3,5,3,4
57111,"Jul 30, 2014",3,4,2,4
57131,"Jul 30, 2014",3,4,3,4
57132,"Jul 30, 2014",3,4,3,4
57133,"Jul 30, 2014",3,4,3,4
57126,"Jul 30, 2014",4,3,4,3
57128,"Jul 30, 2014",4,3,3,3
57129,"Jul 30, 2014",4,none,4,none
57130,"Jul 30, 2014",4,none,none,none
57031,"Jul 30, 2014",5,5,5,5
55189,"Jul 30, 2015",4,3,3,5
55190,"Jul 30, 2015",4,none,none,none
65172,"Jul 30, 2015",4,3,4,3
65173,"Jul 30, 2015",4,5,4,5
65121,"Jul 30, 2015",5,4,3,4
53089,"Jul 30, 2016",3,3,3,4
53094,"Jul 30, 2016",3,3,3,4
53065,"Jul 30, 2016",4,4,3,5
64185,"Jul 30, 2016",4,3,4,4
64187,"Jul 30, 2016",4,3,5,4
53033,"Jul 30, 2016",5,5,5,4
53034,"Jul 30, 2016",5,5,5,5
51339,"Jul 30, 2017",4,4,3,5
51340,"Jul 30, 2017",4,2,3,5
51341,"Jul 30, 2017",4,4,5,4
63246,"Jul 30, 2017",4,none,none,none
63247,"Jul 30, 2017",4,3,5,4
51283,"Jul 30, 2017",5,4,5,5
63194,"Jul 30, 2017",5,5,4,4
62294,"Jul 30, 2018",2,2,2,2
49995,"Jul 30, 2018",3,2,3,2
50003,"Jul 30, 2018",3,4,4,5
50017,"Jul 30, 2018",3,3,4,4
62292,"Jul 30, 2018",3,none,none,none
50026,"Jul 30, 2018",4,5,4,5
50027,"Jul 30, 2018",4,none,none,none
50030,"Jul 30, 2018",4,4,4,4
62287,"Jul 30, 2018",4,3,3,3
62241,"Jul 30, 2018",5,5,5,5
61525,"Jul 31, 2008",2,3,4,4.5
61153,"Jul 31, 2009",2,4.5,2.5,5
61154,"Jul 31, 2009",3,4,3,3.5
61156,"Jul 31, 2009",3,2.5,2.5,4
60288,"Jul 31, 2011",3,3.5,3,2
60278,"Jul 31, 2011",5,5,5,4.5
59715,"Jul 31, 2012",3,2,3,3
59722,"Jul 31, 2012",4,5,3,5
59684,"Jul 31, 2012",5,5,4,4
58681,"Jul 31, 2013",1,1,1,3
58626,"Jul 31, 2013",3,4,2,4
58627,"Jul 31, 2013",3,4,3,4
58623,"Jul 31, 2013",4,3,5,5
58624,"Jul 31, 2013",4,4,4,4
58573,"Jul 31, 2013",5,5,5,5
58574,"Jul 31, 2013",5,2,4,3
58581,"Jul 31, 2013",5,5,5,3
57235,"Jul 31, 2014",1,1,2,2
57092,"Jul 31, 2014",3,3,4,4
57100,"Jul 31, 2014",3,none,none,none
57122,"Jul 31, 2014",3,3,4,4
57123,"Jul 31, 2014",3,3,3,4
57115,"Jul 31, 2014",4,4,4,4
57116,"Jul 31, 2014",4,5,3,5
57117,"Jul 31, 2014",4,none,none,none
57005,"Jul 31, 2014",5,5,5,5
57025,"Jul 31, 2014",5,4,4,5
55191,"Jul 31, 2015",2,3,2,4
55185,"Jul 31, 2015",4,2,3,4
65170,"Jul 31, 2015",4,4,4,4
55089,"Jul 31, 2015",5,5,4,3
55090,"Jul 31, 2015",5,5,4,5
53086,"Jul 31, 2016",3,none,none,none
64182,"Jul 31, 2016",4,none,none,none
63214,"Jul 31, 2017",3,4,4,5
63243,"Jul 31, 2017",3,none,none,none
63248,"Jul 31, 2017",3,2,2,5
51337,"Jul 31, 2017",4,4,4,4
63228,"Jul 31, 2017",4,4,3,3
63241,"Jul 31, 2017",4,4,5,3
63242,"Jul 31, 2017",4,4,3,5
51277,"Jul 31, 2017",5,5,3,5
51278,"Jul 31, 2017",5,4,5,5
51279,"Jul 31, 2017",5,5,5,5
63178,"Jul 31, 2017",5,4,4,5
63190,"Jul 31, 2017",5,4,5,4
50020,"Jul 31, 2018",4,3,5,4
62284,"Jul 31, 2018",4,5,3,1
62240,"Jul 31, 2018",5,none,5,3
60846,"Jul 4, 2010",1,2,1,3
59764,"Jul 4, 2012",5,3,5,4
58695,"Jul 4, 2013",4,4,4,4
57246,"Jul 4, 2014",3,3,3,4
57251,"Jul 4, 2014",4,5,4,4
57195,"Jul 4, 2014",5,2,5,5
55487,"Jul 4, 2015",1,1,1,4
65232,"Jul 4, 2015",3,2,5,5
65239,"Jul 4, 2015",3,4,4,4
53194,"Jul 4, 2016",3,3,5,5
64243,"Jul 4, 2016",3,1,3,5
64239,"Jul 4, 2016",4,2,3,3
64240,"Jul 4, 2016",4,5,3,4
64241,"Jul 4, 2016",4,2,3,3
64242,"Jul 4, 2016",4,3,3,4
53121,"Jul 4, 2016",5,5,5,5
53134,"Jul 4, 2016",5,5,4,4
64210,"Jul 4, 2016",5,3,5,5
64213,"Jul 4, 2016",5,5,4,4
51434,"Jul 4, 2017",3,4,4,5
51383,"Jul 4, 2017",5,5,5,4
63279,"Jul 4, 2017",5,3,3,2
63280,"Jul 4, 2017",5,3,3,2
50099,"Jul 4, 2018",4,none,none,none
62347,"Jul 4, 2018",4,2,3,5
62324,"Jul 4, 2018",5,5,5,5
61529,"Jul 5, 2008",5,5,5,5
60817,"Jul 5, 2010",2,3,2,4
60309,"Jul 5, 2011",2,4,3,2.5
59781,"Jul 5, 2012",4,5,4,3
59785,"Jul 5, 2012",4,2,3,3
59763,"Jul 5, 2012",5,5,5,5
58692,"Jul 5, 2013",4,5,4,5
55293,"Jul 5, 2015",2,1,2,3
55345,"Jul 5, 2015",3,none,none,none
55264,"Jul 5, 2015",5,4,4,5
64237,"Jul 5, 2016",4,4,4,4
53119,"Jul 5, 2016",5,4,4,5
53129,"Jul 5, 2016",5,4,5,5
51416,"Jul 5, 2017",4,5,2,5
51428,"Jul 5, 2017",4,4,5,4
51429,"Jul 5, 2017",4,3,3,5
51430,"Jul 5, 2017",4,none,none,none
51431,"Jul 5, 2017",4,4,4,4
63314,"Jul 5, 2017",4,5,5,5
63315,"Jul 5, 2017",4,4,4,4
51361,"Jul 5, 2017",5,5,4,4
51372,"Jul 5, 2017",5,5,5,5
63276,"Jul 5, 2017",5,2,4,5
50093,"Jul 5, 2018",4,5,5,5
50058,"Jul 5, 2018",5,3,4,3
50059,"Jul 5, 2018",5,none,none,none
62319,"Jul 5, 2018",5,none,none,none
62321,"Jul 5, 2018",5,none,none,none
62322,"Jul 5, 2018",5,4,4,5
61559,"Jul 6, 2008",4,1.5,3.5,4
61560,"Jul 6, 2008",4,4,3.5,4
61532,"Jul 6, 2008",5,5,5,5
60812,"Jul 6, 2010",3,4,2.5,3.5
60813,"Jul 6, 2010",3,4,3.5,3.5
60307,"Jul 6, 2011",3,3,4,3.5
60306,"Jul 6, 2011",4,4,4,3.5
59779,"Jul 6, 2012",3,4,4,5
59782,"Jul 6, 2012",4,4,5,4
59759,"Jul 6, 2012",5,5,5,4
57236,"Jul 6, 2014",4,5,3,5
57191,"Jul 6, 2014",5,2,5,5
65235,"Jul 6, 2015",2,3,4,4
55318,"Jul 6, 2015",3,1,3,4
55319,"Jul 6, 2015",3,4,2,3
55339,"Jul 6, 2015",3,5,3,4
65233,"Jul 6, 2015",3,none,none,none
55338,"Jul 6, 2015",4,2,3,5
65226,"Jul 6, 2015",4,3,2,3
65227,"Jul 6, 2015",4,4,3,3
65228,"Jul 6, 2015",4,5,4,4
65229,"Jul 6, 2015",4,4,4,4
55255,"Jul 6, 2015",5,2,5,5
55256,"Jul 6, 2015",5,3,4,4
64277,"Jul 6, 2016",1,5,1,2
64279,"Jul 6, 2016",1,4,2,2
64235,"Jul 6, 2016",3,3,4,4
53187,"Jul 6, 2016",4,4,4,4
64233,"Jul 6, 2016",4,3,3,3
64238,"Jul 6, 2016",4,3,4,5
53126,"Jul 6, 2016",5,4,4,5
53127,"Jul 6, 2016",5,none,none,none
51414,"Jul 6, 2017",4,4,4,3
63308,"Jul 6, 2017",4,4,5,5
51380,"Jul 6, 2017",5,4,5,5
50090,"Jul 6, 2018",2,1,2,5
50091,"Jul 6, 2018",3,3,4,3
50092,"Jul 6, 2018",3,1,4,5
50052,"Jul 6, 2018",5,3,5,5
50053,"Jul 6, 2018",5,5,4,5
62313,"Jul 6, 2018",5,4,5,5
61547,"Jul 7, 2008",4,4.5,4,5
61557,"Jul 7, 2008",4,4,5,4.5
61176,"Jul 7, 2009",2,1.5,2.5,4.5
61177,"Jul 7, 2009",2,2.5,3,3
61174,"Jul 7, 2009",4,4,3.5,4.5
61175,"Jul 7, 2009",4,4.5,4,4.5
60814,"Jul 7, 2010",4,3.5,3.5,4
60796,"Jul 7, 2010",5,4.5,5,5
59767,"Jul 7, 2012",3,2,3,3
59769,"Jul 7, 2012",4,5,4,4
